tick,nodes,SA,total_ms,light_ms,plant_ms,debug_ms,position_ms,maintenance_ms,grow_ms,mass_stress_ms,droop_break_ms,transport_ms
9516,4531,0,78.1131,0,26.8505,51.2626,0.209534,1.0426,10.453,0.695869,0.162787,5.02874
9517,4531,0,77.8416,0,26.8716,50.97,0.210532,1.0316,10.4358,0.703784,0.165204,5.04894
9518,4534,0,76.4808,0,26.7205,49.7602,0.21083,1.03374,10.354,0.70046,0.164246,5.03272
9519,4534,0,75.8553,0,26.0692,49.7861,0.206782,0.978955,10.1409,0.67276,0.161154,4.94513
9520,4537,0,142.985,65.9863,26.9518,50.0466,0.212708,1.04389,10.5411,0.700222,0.162814,5.03441
9521,4538,0,77.0933,0,27.1272,49.9661,0.207958,1.01343,10.3556,0.69392,0.164071,5.04216
9522,4538,0,76.4736,0,26.8864,49.5872,0.209548,1.05199,10.4537,0.710102,0.164014,5.03009
9523,4537,0,77.892,0,27.5152,50.3768,0.209954,1.06692,10.5578,0.713252,0.165019,5.04046
9524,4540,0,76.4513,0,26.593,49.8583,0.208743,1.01852,10.3337,0.691032,0.164645,5.02928
9525,4546,0,76.4472,0,26.3697,50.0775,0.206714,0.987512,10.3064,0.688952,0.16188,4.95595
9526,4545,0,77.3816,0,27.1846,50.197,0.265546,1.03908,10.1934,0.692341,0.160384,5.16406
9527,4548,0,76.5764,0,26.7352,49.8412,0.209389,1.0084,10.3965,0.709501,0.163795,5.04787
9528,4550,0,78.2433,0,28.2601,49.9832,0.381936,1.08634,10.4994,0.754136,0.166088,5.30858
9529,4550,0,76.5595,0,26.6205,49.9391,0.208677,1.00829,10.3712,0.685857,0.165987,5.02076
9530,4553,0,143.194,66.3372,27.1119,49.7444,0.209432,1.07237,10.5119,0.709255,0.163458,5.04818
9531,4553,0,76.7171,0,25.9745,50.7425,0.208387,1.01584,9.78388,0.700706,0.162341,5.0028
9532,4552,0,76.5153,0,26.564,49.9513,0.207873,1.00183,9.91544,0.693392,0.162697,4.99126
9533,4552,0,75.9289,0,26.2961,49.6328,0.209526,1.02043,9.92059,0.724338,0.163619,5.03523
9534,4552,0,75.7472,0,26.2178,49.5295,0.209036,1.00432,9.95807,0.693378,0.163914,5.02561
