tick,nodes,SA,total_ms,light_ms,plant_ms,debug_ms,position_ms,maintenance_ms,grow_ms,mass_stress_ms,droop_break_ms,transport_ms
5319,2047,0,59.3516,27.2322,10.5107,21.6088,0.207004,0.756521,1.47377,0.547582,0.122764,4.37862
5320,2047,0,57.5065,26.126,10.0047,21.3757,0.153304,0.664498,1.4625,0.486766,0.122327,4.15844
5321,2047,0,57.709,26.2313,10.066,21.4116,0.153086,0.683811,1.40445,0.492507,0.123238,4.25105
5322,2046,0,59.8172,26.2762,10.269,23.272,0.152725,0.679112,1.45818,0.491695,0.12241,4.20005
5323,2045,0,59.2935,27.0153,10.5376,21.7406,0.154426,0.722354,1.47787,0.508045,0.12313,4.25963
5324,2044,0,58.9562,26.1299,10.9197,21.9066,0.161059,0.784084,1.5489,0.550239,0.127126,4.42045
5325,2044,0,63.034,30.0674,10.535,22.4316,0.201875,0.724056,1.4445,0.539591,0.127089,4.41517
5326,2044,0,61.9405,27.9778,11.4933,22.4695,0.39558,0.902657,1.60485,0.648051,0.124803,4.73369
5327,2043,0,60.928,27.465,11.2118,22.2512,0.269793,0.849836,1.51304,0.586871,0.123452,4.6229
5328,2043,0,63.3362,28.659,11.8688,22.8085,0.38116,0.951951,1.57234,0.646124,0.135066,4.93601
5329,2043,0,59.7446,26.901,10.9639,21.8797,0.458731,0.846811,1.4435,0.579594,0.122214,4.47802
5330,2043,0,60.1955,27.8545,10.6019,21.7392,0.250086,0.770653,1.53258,0.549881,0.124103,4.38125
5331,2043,0,61.5615,28.3577,11.5591,21.6446,0.369754,0.916051,1.5004,0.635878,0.124833,4.952
5332,2043,0,58.3035,26.3923,10.4292,21.4819,0.260932,0.747214,1.47549,0.530836,0.12358,4.28227
5333,2043,0,60.369,27.1656,10.3781,22.8253,0.15715,0.71056,1.43138,0.5314,0.128773,4.33284
5334,2041,0,59.1534,26.7235,10.5173,21.9125,0.156094,0.707642,1.50527,0.508968,0.126684,4.25633
5335,2040,0,58.5807,26.5179,10.2941,21.7688,0.153219,0.705554,1.3955,0.507812,0.122529,4.22159
5336,2040,0,58.0401,26.3842,10.0672,21.5887,0.151755,0.68125,1.47151,0.486915,0.122867,4.17088
5337,2039,0,58.7925,26.3501,10.3385,22.104,0.153089,0.697561,1.42247,0.504865,0.124189,4.22307
5338,2039,0,60.5646,26.9542,10.7621,22.8483,0.159367,0.784313,1.54399,0.551143,0.126983,4.45242
5339,2042,0,58.8162,26.3648,11.0455,21.406,0.651381,0.82623,1.41778,0.566996,0.124651,4.49203
5340,2045,0,57.683,26.0094,10.111,21.5627,0.151325,0.664578,1.54182,0.486901,0.123074,4.17246
5341,2047,0,58.5257,26.2703,10.1802,22.0752,0.15345,0.660771,1.41664,0.489283,0.123319,4.15933
5342,2047,0,63.1432,28.6468,11.1402,23.3562,0.179401,0.825138,1.66532,0.583675,0.128539,4.56262
5343,2050,0,61.8202,27.1645,10.8688,23.787,0.192752,0.818146,1.50482,0.583711,0.125113,4.54894
5344,2050,0,63.8002,28.9212,10.9667,23.9123,0.176658,0.838159,1.55745,0.561849,0.12625,4.55839
5345,2050,0,62.6691,28.4832,11.188,22.9979,0.346817,0.813967,1.55492,0.647581,0.127707,4.52652
5346,2050,0,61.1808,27.2791,11.6354,22.2662,0.459334,0.905711,1.5948,0.587878,0.130869,4.82567
5347,2050,0,62.5303,28.5032,10.8743,23.1528,0.199968,0.80143,1.56984,0.59128,0.126608,4.50289
5348,2050,0,61.2785,27.9072,10.9022,22.4692,0.16045,0.811033,1.63517,0.566581,0.127042,4.4834
5349,2053,0,65.4068,31.1993,11.1327,23.0748,0.168366,0.829609,1.6759,0.594055,0.131203,4.52016
5350,2053,0,64.2545,29.3113,10.9561,23.9871,0.166807,0.762501,1.67172,0.564636,0.126327,4.46
5351,2052,0,61.7817,28.5354,10.6976,22.5487,0.157411,0.741769,1.47373,0.541562,0.127054,4.36289
5352,2052,0,63.0217,28.9661,11.1758,22.8798,0.276436,0.823526,1.63847,0.626706,0.127672,4.55445
5353,2052,0,61.7497,28.749,10.5876,22.4131,0.182273,0.766544,1.45991,0.531279,0.123306,4.46032
5354,2052,0,62.4502,28.6207,11.45,22.3795,0.338238,0.871856,1.56856,0.612332,0.139656,4.70283
5355,2052,0,59.2135,26.8617,10.2481,22.1038,0.156751,0.699781,1.47048,0.508237,0.124561,4.26389
5356,2052,0,62.0752,28.8393,11.0465,22.1895,0.28362,0.809053,1.51382,0.580288,0.135932,4.65039
5357,2052,0,60.5239,27.3588,10.8531,22.312,0.266827,0.78318,1.4463,0.590069,0.125599,4.60869
5358,2050,0,61.659,28.407,11.121,22.1309,0.192267,0.790406,1.55735,0.564675,0.128063,4.52718
5359,2050,0,62.7468,28.7039,10.7957,23.2472,0.161492,0.822086,1.46552,0.563142,0.126712,4.43935
5360,2049,0,62.3068,28.3791,11.3272,22.6005,0.255582,0.871277,1.53532,0.574674,0.144282,4.58906
5361,2049,0,60.4755,26.6137,11.426,22.4359,0.299732,0.912094,1.51249,0.623621,0.12359,4.83876
5362,2049,0,59.5312,26.4375,10.8928,22.2009,0.34449,0.850447,1.50895,0.572675,0.123369,4.47969
5363,2052,0,59.2726,26.1789,11.319,21.7747,0.465248,0.947798,1.45281,0.616063,0.125484,4.71318
5364,2055,0,58.2702,26.0225,10.5256,21.7222,0.159704,0.729944,1.56547,0.525978,0.127178,4.33385
5365,2057,0,58.8718,26.1617,10.3475,22.3625,0.155576,0.691425,1.43606,0.503885,0.124982,4.21844
5366,2056,0,57.5513,25.563,10.3257,21.6625,0.153298,0.679313,1.48005,0.501312,0.122833,4.2047
5367,2056,0,59.4925,26.4832,10.677,22.3323,0.159255,0.78431,1.47778,0.58255,0.12665,4.42212
5368,2056,0,59.6059,26.9498,10.5631,22.093,0.159046,0.72107,1.52417,0.527207,0.129909,4.40219
5369,2056,0,59.3503,26.7613,10.5207,22.0682,0.227001,0.747949,1.46595,0.547286,0.126426,4.33832
5370,2056,0,59.445,26.6292,10.6233,22.1925,0.158015,0.755526,1.50835,0.545982,0.127567,4.4188
5371,2059,0,58.1119,26.0299,10.349,21.7331,0.154569,0.690308,1.67366,0.50992,0.122306,4.20773
